Episode_Return,Episode_Return_smooth,env_step
10.0,19.1,191
13.0,16.7,204
16.0,15.2,220
11.0,14.3,231
24.0,15.4,255
21.0,14.9,276
12.0,14.7,288
11.0,14.1,299
9.0,13.8,308
67.0,19.4,375
13.0,19.7,388
14.0,19.8,402
11.0,19.3,413
12.0,19.400000000000002,425
31.0,20.1,456
40.0,22.000000000000004,496
25.0,23.3,521
15.0,23.700000000000003,536
9.0,23.699999999999996,545
18.0,18.8,563
12.0,18.7,575
26.0,19.900000000000002,601
20.0,20.800000000000004,621
10.0,20.6,631
13.0,18.8,644
30.0,17.8,674
22.0,17.5,696
10.0,17.0,706
22.0,18.3,728
14.0,17.9,742
27.0,19.399999999999995,769
50.0,21.8,819
36.0,23.400000000000002,855
19.0,24.3,874
19.0,24.9,893
27.0,24.599999999999998,920
28.0,25.2,948
18.0,26.0,966
18.0,25.6,984
15.0,25.700000000000003,999
39.0,26.900000000000006,1038
11.0,23.000000000000007,1049
17.0,21.100000000000005,1066
43.0,23.500000000000004,1109
28.0,24.400000000000002,1137
14.0,23.1,1151
28.0,23.1,1179
18.0,23.1,1197
22.0,23.5,1219
15.0,23.5,1234
27.0,22.3,1261
16.0,22.800000000000004,1277
17.0,22.8,1294
11.0,19.6,1305
38.0,20.6,1343
22.0,21.4,1365
14.0,19.999999999999996,1379
38.0,22.0,1417
13.0,21.1,1430
10.0,20.6,1440
30.0,20.900000000000002,1470
15.0,20.800000000000004,1485
11.0,20.200000000000003,1496
20.0,21.1,1516
10.0,18.3,1526
46.0,20.700000000000003,1572
18.0,21.1,1590
31.0,20.400000000000002,1621
25.0,21.6,1646
17.0,22.3,1663
25.0,21.8,1688
16.0,21.900000000000002,1704
44.0,25.200000000000003,1748
19.0,25.1,1767
17.0,25.8,1784
24.0,23.6,1808
11.0,22.9,1819
28.0,22.600000000000005,1847
11.0,21.200000000000006,1858
14.0,20.900000000000002,1872
13.0,19.700000000000003,1885
14.0,19.5,1899
25.0,17.6,1924
15.0,17.200000000000003,1939
21.0,17.6,1960
16.0,16.8,1976
10.0,16.7,1986
8.0,14.7,1994
21.0,15.700000000000001,2015
33.0,17.6,2048
38.0,20.1,2086
15.0,20.2,2101
11.0,18.8,2112
13.0,18.600000000000005,2125
13.0,17.8,2138
12.0,17.400000000000002,2150
17.0,18.1,2167
12.0,18.5,2179
17.0,18.1,2196
21.0,16.9,2217
30.0,16.1,2247
14.0,16.0,2261
23.0,17.2,2284
18.0,17.700000000000003,2302
50.0,21.400000000000002,2352
15.0,21.700000000000003,2367
25.0,22.5,2392
15.0,22.800000000000004,2407
15.0,22.6,2422
15.0,22.0,2437
10.0,20.0,2447
12.0,19.8,2459
26.0,20.1,2485
13.0,19.6,2498
19.0,16.5,2517
71.0,22.1,2588
15.0,21.1,2603
14.0,21.0,2617
20.0,21.5,2637
25.0,22.5,2662
35.0,25.0,2697
35.0,27.300000000000004,2732
19.0,26.6,2751
15.0,26.799999999999997,2766
17.0,26.599999999999998,2783
43.0,23.8,2826
32.0,25.5,2858
10.0,25.1,2868
51.0,28.200000000000003,2919
18.0,27.500000000000004,2937
32.0,27.200000000000003,2969
22.0,25.900000000000002,2991
15.0,25.5,3006
16.0,25.6,3022
16.0,25.500000000000004,3038
9.0,22.1,3047
37.0,22.6,3084
14.0,22.999999999999996,3098
13.0,19.2,3111
24.0,19.799999999999997,3135
13.0,17.900000000000002,3148
19.0,17.6,3167
47.0,20.8,3214
15.0,20.700000000000003,3229
16.0,20.700000000000003,3245
30.0,22.800000000000004,3275
14.0,20.5,3289
20.0,21.1,3309
10.0,20.799999999999997,3319
9.0,19.299999999999997,3328
14.0,19.4,3342
23.0,19.8,3365
9.0,16.0,3374
12.0,15.700000000000003,3386
14.0,15.500000000000002,3400
36.0,16.1,3436
23.0,17.0,3459
22.0,17.2,3481
13.0,17.500000000000004,3494
21.0,18.700000000000003,3515
12.0,18.500000000000004,3527
12.0,17.400000000000002,3539
17.0,18.200000000000003,3556
15.0,18.5,3571
17.0,18.8,3588
64.0,21.6,3652
17.0,20.999999999999996,3669
37.0,22.5,3706
13.0,22.5,3719
20.0,22.400000000000002,3739
16.0,22.8,3755
9.0,22.5,3764
14.0,22.2,3778
13.0,22.0,3791
33.0,23.6,3824
41.0,21.3,3865
37.0,23.3,3902
32.0,22.8,3934
16.0,23.1,3950
32.0,24.3,3982
43.0,27.0,4025
23.0,28.400000000000002,4048
11.0,28.100000000000005,4059
38.0,30.600000000000005,4097
44.0,31.700000000000003,4141
13.0,28.900000000000002,4154
41.0,29.3,4195
12.0,27.300000000000004,4207
25.0,28.200000000000003,4232
60.0,31.0,4292
17.0,28.400000000000002,4309
13.0,27.400000000000002,4322
20.0,28.3,4342
27.0,27.2,4369
43.0,27.1,4412
14.0,27.2,4426
54.0,28.5,4480
17.0,28.999999999999996,4497
22.0,28.699999999999996,4519
16.0,24.3,4535
20.0,24.6,4555
17.0,25.0,4572
22.0,25.2,4594
13.0,23.8,4607
36.0,23.1,4643
27.0,24.400000000000002,4670
10.0,20.0,4680
20.0,20.3,4700
21.0,20.200000000000003,4721
16.0,20.200000000000003,4737
20.0,20.200000000000003,4757
13.0,19.8,4770
26.0,20.200000000000003,4796
16.0,20.500000000000004,4812
30.0,19.900000000000002,4842
17.0,18.9,4859
41.0,22.0,4900
14.0,21.4,4914
19.0,21.2,4933
59.0,25.5,4992
37.0,27.2,5029
14.0,27.3,5043
14.0,26.099999999999998,5057
18.0,26.299999999999997,5075
45.0,27.8,5120
20.0,28.099999999999998,5140
88.0,32.800000000000004,5228
21.0,33.5,5249
23.0,33.900000000000006,5272
15.0,29.500000000000004,5287
26.0,28.400000000000006,5313
10.0,28.000000000000004,5323
14.0,28.000000000000004,5337
25.0,28.700000000000003,5362
19.0,26.1,5381
17.0,25.799999999999997,5398
12.0,18.2,5410
13.0,17.400000000000002,5423
22.0,17.3,5445
24.0,18.200000000000003,5469
23.0,17.9,5492
12.0,18.1,5504
33.0,20.000000000000004,5537
12.0,18.700000000000003,5549
14.0,18.2,5563
13.0,17.8,5576
46.0,21.200000000000003,5622
19.0,21.8,5641
39.0,23.5,5680
15.0,22.6,5695
22.0,22.5,5717
26.0,23.900000000000002,5743
14.0,22.0,5757
18.0,22.6,5775
24.0,23.6,5799
28.0,25.100000000000005,5827
10.0,21.500000000000004,5837
24.0,22.0,5861
34.0,21.5,5895
14.0,21.4,5909
24.0,21.6,5933
10.0,20.0,5943
16.0,20.200000000000003,5959
11.0,19.500000000000007,5970
38.0,20.900000000000006,6008
9.0,19.0,6017
14.0,19.4,6031
53.0,22.3,6084
38.0,22.700000000000003,6122
41.0,25.400000000000002,6163
28.0,25.800000000000004,6191
16.0,26.400000000000006,6207
32.0,28.000000000000004,6239
16.0,28.500000000000007,6255
21.0,26.800000000000008,6276
30.0,28.900000000000006,6306
36.0,31.10000000000001,6342
28.0,28.600000000000005,6370
38.0,28.6,6408
25.0,27.000000000000004,6433
52.0,29.4,6485
16.0,29.400000000000002,6501
14.0,27.6,6515
26.0,28.6,6541
47.0,31.200000000000003,6588
24.0,30.6,6612
10.0,28.0,6622
10.0,26.200000000000003,6632
17.0,24.099999999999998,6649
19.0,23.499999999999996,6668
13.0,19.6,6681
51.0,23.1,6732
56.0,27.300000000000004,6788
41.0,28.800000000000004,6829
15.0,25.600000000000005,6844
32.0,26.400000000000002,6876
27.0,28.1,6903
70.0,34.1,6973
28.0,35.2,7001
15.0,34.8,7016
21.0,35.6,7037
21.0,32.6,7058
41.0,31.100000000000005,7099
19.0,28.900000000000002,7118
17.0,29.100000000000005,7135
24.0,28.300000000000004,7159
13.0,26.900000000000002,7172
24.0,22.300000000000004,7196
24.0,21.9,7220
22.0,22.600000000000005,7242
12.0,21.700000000000003,7254
58.0,25.400000000000002,7312
27.0,24.0,7339
16.0,23.700000000000003,7355
16.0,23.6,7371
40.0,25.200000000000003,7411
39.0,27.800000000000004,7450
17.0,27.099999999999998,7467
21.0,26.8,7488
15.0,26.099999999999998,7503
43.0,29.200000000000003,7546
62.0,29.6,7608
26.0,29.5,7634
38.0,31.7,7672
15.0,31.6,7687
39.0,31.5,7726
30.0,30.6,7756
48.0,33.7,7804
12.0,32.8,7816
