Episode_Return,Episode_Return_smooth,env_step
17.0,19.8,198
29.0,21.799999999999997,227
14.0,19.699999999999996,241
11.0,19.299999999999997,252
12.0,19.4,264
50.0,22.1,314
31.0,23.500000000000004,345
13.0,23.500000000000004,358
20.0,23.800000000000004,378
50.0,24.700000000000003,428
11.0,24.1,439
25.0,23.700000000000003,464
24.0,24.700000000000003,488
45.0,28.1,533
24.0,29.3,557
11.0,25.4,568
10.0,23.3,578
34.0,25.4,612
32.0,26.599999999999998,644
20.0,23.599999999999998,664
20.0,24.5,684
45.0,26.5,729
31.0,27.200000000000003,760
15.0,24.200000000000003,775
17.0,23.5,792
18.0,24.200000000000003,810
17.0,24.900000000000002,827
14.0,22.9,841
30.0,22.699999999999996,871
22.0,22.9,893
17.0,22.6,910
16.0,19.700000000000003,926
45.0,21.099999999999998,971
10.0,20.6,981
12.0,20.099999999999998,993
15.0,19.8,1008
71.0,25.200000000000003,1079
16.0,25.400000000000002,1095
34.0,25.8,1129
13.0,24.900000000000002,1142
13.0,24.500000000000004,1155
13.0,24.200000000000003,1168
14.0,21.1,1182
16.0,21.700000000000003,1198
26.0,23.1,1224
48.0,26.400000000000006,1272
28.0,22.1,1300
17.0,22.2,1317
23.0,21.1,1340
12.0,21.0,1352
26.0,22.300000000000004,1378
12.0,22.2,1390
11.0,21.900000000000002,1401
29.0,23.2,1430
18.0,22.400000000000002,1448
26.0,20.2,1474
21.0,19.500000000000004,1495
18.0,19.6,1513
26.0,19.900000000000002,1539
22.0,20.900000000000002,1561
11.0,19.400000000000002,1572
46.0,22.800000000000004,1618
25.0,24.200000000000003,1643
10.0,22.3,1653
34.0,23.9,1687
18.0,23.1,1705
10.0,22.0,1715
12.0,21.4,1727
23.0,21.1,1750
16.0,20.500000000000004,1766
16.0,21.000000000000004,1782
19.0,18.3,1801
16.0,17.400000000000002,1817
29.0,19.3,1846
12.0,17.1,1858
14.0,16.7,1872
19.0,17.6,1891
15.0,17.9,1906
32.0,18.8,1938
28.0,20.0,1966
12.0,19.6,1978
15.0,19.2,1993
12.0,18.8,2005
17.0,17.599999999999998,2022
20.0,18.4,2042
27.0,19.7,2069
25.0,20.299999999999997,2094
43.0,23.1,2137
27.0,22.599999999999998,2164
24.0,22.2,2188
21.0,23.1,2209
32.0,24.8,2241
13.0,24.900000000000002,2254
16.0,24.8,2270
41.0,26.900000000000002,2311
16.0,25.800000000000004,2327
21.0,25.400000000000006,2348
16.0,22.700000000000006,2364
14.0,21.400000000000002,2378
56.0,24.6,2434
17.0,24.2,2451
13.0,22.3,2464
25.0,23.5,2489
14.0,23.3,2503
18.0,21.0,2521
24.0,21.8,2545
12.0,20.9,2557
14.0,20.7,2571
18.0,21.1,2589
13.0,16.8,2602
26.0,17.700000000000003,2628
14.0,17.8,2642
14.0,16.700000000000003,2656
12.0,16.500000000000004,2668
18.0,16.5,2686
42.0,18.3,2728
23.0,19.400000000000002,2751
20.0,20.0,2771
24.0,20.6,2795
26.0,21.900000000000002,2821
17.0,21.0,2838
24.0,22.0,2862
21.0,22.700000000000003,2883
27.0,24.2,2910
39.0,26.299999999999997,2949
15.0,23.599999999999998,2964
27.0,24.0,2991
9.0,22.9,3000
20.0,22.5,3020
21.0,22.0,3041
11.0,21.400000000000002,3052
18.0,20.8,3070
38.0,22.500000000000004,3108
42.0,24.0,3150
39.0,24.0,3189
16.0,24.1,3205
15.0,22.900000000000002,3220
24.0,24.400000000000002,3244
22.0,24.6,3266
14.0,23.9,3280
13.0,24.099999999999998,3293
18.0,24.099999999999998,3311
11.0,21.400000000000002,3322
24.0,19.6,3346
46.0,20.3,3392
23.0,21.000000000000004,3415
15.0,21.000000000000004,3430
23.0,20.9,3453
17.0,20.400000000000002,3470
17.0,20.7,3487
17.0,21.099999999999998,3504
37.0,23.0,3541
18.0,23.7,3559
12.0,22.5,3571
38.0,21.7,3609
28.0,22.200000000000003,3637
19.0,22.6,3656
33.0,23.6,3689
19.0,23.799999999999997,3708
16.0,23.700000000000003,3724
17.0,23.7,3741
13.0,21.3,3754
24.0,21.9,3778
25.0,23.2,3803
16.0,21.0,3819
35.0,21.700000000000003,3854
14.0,21.2,3868
20.0,19.9,3888
11.0,19.1,3899
26.0,20.100000000000005,3925
24.0,20.8,3949
11.0,20.6,3960
24.0,20.599999999999998,3984
21.0,20.200000000000003,4005
43.0,22.900000000000002,4048
14.0,20.799999999999997,4062
10.0,20.4,4072
19.0,20.299999999999997,4091
22.0,21.4,4113
21.0,20.900000000000002,4134
28.0,21.300000000000004,4162
14.0,21.6,4176
26.0,21.8,4202
29.0,22.599999999999998,4231
27.0,21.0,4258
24.0,21.999999999999996,4282
16.0,22.6,4298
15.0,22.2,4313
19.0,21.9,4332
65.0,26.3,4397
32.0,26.7,4429
12.0,26.5,4441
54.0,29.299999999999997,4495
13.0,27.7,4508
45.0,29.5,4553
20.0,29.099999999999998,4573
13.0,28.8,4586
21.0,29.400000000000002,4607
16.0,29.1,4623
19.0,24.500000000000004,4642
45.0,25.8,4687
15.0,26.1,4702
18.0,22.500000000000004,4720
19.0,23.1,4739
10.0,19.599999999999998,4749
14.0,19.0,4763
22.0,19.900000000000002,4785
19.0,19.7,4804
17.0,19.8,4821
35.0,21.4,4856
15.0,18.400000000000002,4871
22.0,19.1,4893
17.0,19.0,4910
15.0,18.599999999999998,4925
14.0,19.0,4939
26.0,20.2,4965
24.0,20.4,4989
13.0,19.8,5002
38.0,21.900000000000002,5040
17.0,20.1,5057
15.0,20.1,5072
61.0,24.000000000000004,5133
15.0,23.800000000000004,5148
10.0,23.3,5158
19.0,23.799999999999997,5177
40.0,25.2,5217
18.0,24.6,5235
27.0,26.0,5262
12.0,23.400000000000002,5274
14.0,23.1,5288
29.0,24.499999999999996,5317
72.0,25.599999999999998,5389
29.0,26.999999999999996,5418
17.0,27.7,5435
16.0,27.4,5451
26.0,26.0,5477
16.0,25.800000000000004,5493
29.0,26.000000000000004,5522
33.0,28.100000000000005,5555
34.0,30.1,5589
18.0,28.999999999999996,5607
15.0,23.3,5622
34.0,23.8,5656
8.0,22.900000000000002,5664
17.0,23.0,5681
14.0,21.799999999999997,5695
68.0,27.0,5763
30.0,27.1,5793
10.0,24.8,5803
20.0,23.4,5823
13.0,22.900000000000002,5836
17.0,23.1,5853
12.0,20.900000000000002,5865
22.0,22.299999999999997,5887
12.0,21.8,5899
12.0,21.599999999999998,5911
11.0,15.899999999999997,5922
23.0,15.2,5945
13.0,15.5,5958
9.0,14.400000000000002,5967
19.0,15.000000000000004,5986
30.0,16.300000000000004,6016
71.0,22.200000000000003,6087
16.0,21.6,6103
12.0,21.6,6115
40.0,24.400000000000002,6155
32.0,26.500000000000004,6187
13.0,25.5,6200
17.0,25.9,6217
66.0,31.6,6283
27.0,32.4,6310
13.0,30.700000000000003,6323
13.0,24.900000000000002,6336
11.0,24.400000000000002,6347
29.0,26.1,6376
17.0,23.8,6393
15.0,22.099999999999998,6408
20.0,22.8,6428
11.0,22.200000000000003,6439
17.0,17.299999999999997,6456
14.0,16.0,6470
13.0,16.0,6483
23.0,17.0,6506
20.0,17.900000000000002,6526
38.0,18.8,6564
13.0,18.400000000000002,6577
30.0,19.900000000000002,6607
14.0,19.3,6621
48.0,23.000000000000004,6669
12.0,22.5,6681
11.0,22.200000000000003,6692
28.0,23.700000000000003,6720
21.0,23.500000000000004,6741
13.0,22.800000000000004,6754
28.0,21.8,6782
81.0,28.600000000000005,6863
22.0,27.8,6885
36.0,30.000000000000004,6921
13.0,26.500000000000004,6934
20.0,27.300000000000004,6954
22.0,28.400000000000002,6976
12.0,26.8,6988
35.0,28.2,7023
16.0,28.5,7039
17.0,27.4,7056
38.0,23.1,7094
12.0,22.099999999999998,7106
21.0,20.6,7127
32.0,22.5,7159
34.0,23.9,7193
27.0,24.4,7220
16.0,24.799999999999997,7236
17.0,23.0,7253
15.0,22.900000000000002,7268
14.0,22.6,7282
45.0,23.299999999999997,7327
