Episode_Return,Episode_Return_smooth,env_step
57.0,25.5,255
21.0,25.8,276
29.0,27.5,305
23.0,28.0,328
14.0,27.6,342
12.0,24.599999999999998,354
16.0,24.7,370
36.0,26.1,406
19.0,24.200000000000003,425
13.0,24.000000000000004,438
13.0,19.599999999999998,451
21.0,19.6,472
38.0,20.500000000000004,510
28.0,21.000000000000004,538
27.0,22.3,565
23.0,23.400000000000002,588
29.0,24.7,617
27.0,23.799999999999997,644
31.0,25.0,675
10.0,24.7,685
26.0,26.000000000000004,711
11.0,25.000000000000007,722
14.0,22.6,736
19.0,21.7,755
31.0,22.099999999999998,786
12.0,21.0,798
19.0,20.0,817
25.0,19.8,842
13.0,18.0,855
25.0,19.5,880
18.0,18.700000000000003,898
10.0,18.6,908
30.0,20.2,938
17.0,20.000000000000004,955
18.0,18.700000000000003,973
20.0,19.5,993
58.0,23.400000000000002,1051
21.0,23.000000000000004,1072
17.0,23.400000000000002,1089
16.0,22.500000000000004,1105
69.0,27.600000000000005,1174
18.0,28.400000000000006,1192
23.0,27.700000000000003,1215
31.0,29.100000000000005,1246
19.0,29.200000000000003,1265
21.0,29.300000000000004,1286
17.0,25.200000000000003,1303
17.0,24.8,1320
14.0,24.5,1334
17.0,24.599999999999998,1351
50.0,22.7,1401
44.0,25.299999999999997,1445
19.0,24.9,1464
46.0,26.4,1510
14.0,25.9,1524
55.0,29.3,1579
28.0,30.400000000000002,1607
17.0,30.4,1624
11.0,30.1,1635
44.0,32.800000000000004,1679
17.0,29.5,1696
20.0,27.099999999999998,1716
15.0,26.700000000000003,1731
12.0,23.299999999999997,1743
35.0,25.4,1778
34.0,23.299999999999997,1812
11.0,21.6,1823
19.0,21.8,1842
27.0,23.4,1869
43.0,23.3,1912
24.0,24.0,1936
13.0,23.299999999999997,1949
17.0,23.499999999999996,1966
14.0,23.699999999999996,1980
36.0,23.8,2016
23.0,22.700000000000003,2039
14.0,23.0,2053
24.0,23.5,2077
27.0,23.499999999999996,2104
13.0,20.5,2117
