Episode_Return,Episode_Return_smooth,env_step
14.0,20.199999999999996,202
20.0,20.2,222
14.0,20.099999999999998,236
30.0,20.4,266
13.0,20.4,279
14.0,20.8,293
20.0,21.1,313
26.0,19.700000000000006,339
18.0,19.600000000000005,357
26.0,19.500000000000004,383
37.0,21.8,420
15.0,21.3,435
13.0,21.200000000000003,448
38.0,22.000000000000004,486
9.0,21.6,495
38.0,24.0,533
16.0,23.6,549
20.0,23.000000000000004,569
9.0,22.1,578
15.0,21.0,593
26.0,19.900000000000002,619
15.0,19.900000000000002,634
16.0,20.200000000000003,650
41.0,20.500000000000004,691
16.0,21.200000000000003,707
16.0,19.0,723
15.0,18.900000000000002,738
11.0,18.0,749
19.0,19.0,768
18.0,19.3,786
18.0,18.5,804
15.0,18.5,819
13.0,18.200000000000003,832
12.0,15.3,844
11.0,14.8,855
24.0,15.6,879
30.0,17.1,909
12.0,17.2,921
44.0,19.7,965
12.0,19.099999999999998,977
42.0,21.499999999999996,1019
21.0,22.1,1040
22.0,23.0,1062
22.0,24.0,1084
16.0,24.5,1100
29.0,25.0,1129
23.0,24.3,1152
19.0,25.0,1171
23.0,22.9,1194
13.0,23.0,1207
11.0,19.900000000000002,1218
19.0,19.700000000000003,1237
16.0,19.1,1253
26.0,19.500000000000004,1279
34.0,21.3,1313
34.0,21.799999999999997,1347
17.0,21.199999999999996,1364
14.0,20.7,1378
13.0,19.7,1391
18.0,20.2,1409
14.0,20.5,1423
11.0,19.7,1434
21.0,20.200000000000003,1455
12.0,18.8,1467
10.0,16.400000000000002,1477
28.0,15.8,1505
13.0,15.4,1518
14.0,15.400000000000002,1532
18.0,15.900000000000004,1550
39.0,18.000000000000004,1589
18.0,18.400000000000002,1607
15.0,18.8,1622
15.0,18.200000000000003,1637
10.0,18.000000000000004,1647
37.0,20.700000000000003,1684
21.0,20.000000000000004,1705
17.0,20.400000000000002,1722
15.0,20.5,1737
16.0,20.300000000000004,1753
12.0,17.6,1765
12.0,17.0,1777
13.0,16.799999999999997,1790
24.0,17.7,1814
22.0,18.9,1836
15.0,16.7,1851
37.0,18.3,1888
13.0,17.9,1901
26.0,19.000000000000004,1927
18.0,19.200000000000003,1945
12.0,19.200000000000003,1957
23.0,20.3,1980
11.0,20.100000000000005,1991
23.0,20.000000000000004,2014
28.0,20.6,2042
14.0,20.5,2056
35.0,20.3,2091
21.0,21.100000000000005,2112
19.0,20.400000000000002,2131
9.0,19.5,2140
14.0,19.699999999999996,2154
21.0,19.5,2175
48.0,23.200000000000003,2223
36.0,24.500000000000004,2259
36.0,25.300000000000004,2295
23.0,26.200000000000003,2318
12.0,23.900000000000002,2330
21.0,23.900000000000002,2351
24.0,24.400000000000002,2375
19.0,25.4,2394
34.0,27.399999999999995,2428
25.0,27.799999999999997,2453
38.0,26.799999999999997,2491
14.0,24.6,2505
29.0,23.9,2534
28.0,24.4,2562
24.0,25.599999999999998,2586
13.0,24.8,2599
25.0,24.900000000000002,2624
48.0,27.8,2672
26.0,27.000000000000004,2698
19.0,26.400000000000002,2717
12.0,23.8,2729
50.0,27.4,2779
22.0,26.7,2801
24.0,26.3,2825
25.0,26.4,2850
15.0,26.599999999999998,2865
26.0,26.7,2891
28.0,24.700000000000003,2919
21.0,24.200000000000003,2940
23.0,24.600000000000005,2963
11.0,24.500000000000004,2974
37.0,23.200000000000003,3011
24.0,23.4,3035
11.0,22.1,3046
23.0,21.900000000000002,3069
16.0,22.000000000000004,3085
31.0,22.500000000000004,3116
63.0,26.000000000000004,3179
11.0,25.000000000000004,3190
20.0,24.700000000000003,3210
10.0,24.6,3220
10.0,21.900000000000002,3230
11.0,20.6,3241
29.0,22.400000000000002,3270
33.0,23.400000000000002,3303
25.0,24.3,3328
20.0,23.2,3348
11.0,18.000000000000004,3359
12.0,18.1,3371
54.0,21.5,3425
32.0,23.7,3457
10.0,23.7,3467
25.0,25.099999999999998,3492
36.0,25.8,3528
31.0,25.6,3559
12.0,24.3,3571
13.0,23.6,3584
22.0,24.700000000000003,3606
10.0,24.5,3616
54.0,24.5,3670
13.0,22.6,3683
39.0,25.5,3722
10.0,24.0,3732
23.0,22.700000000000003,3755
16.0,21.200000000000003,3771
11.0,21.100000000000005,3782
14.0,21.200000000000003,3796
28.0,21.8,3824
28.0,23.6,3852
13.0,19.5,3865
26.0,20.800000000000004,3891
16.0,18.500000000000004,3907
21.0,19.600000000000005,3928
13.0,18.6,3941
11.0,18.1,3952
22.0,19.2,3974
33.0,21.1,4007
12.0,19.5,4019
19.0,18.599999999999998,4038
16.0,18.900000000000002,4054
21.0,18.400000000000002,4075
23.0,19.1,4098
14.0,18.4,4112
20.0,19.1,4132
17.0,19.7,4149
30.0,20.5,4179
14.0,18.6,4193
41.0,21.5,4234
16.0,21.200000000000003,4250
73.0,26.900000000000002,4323
41.0,28.900000000000002,4364
17.0,28.3,4381
12.0,28.099999999999998,4393
22.0,28.3,4415
38.0,30.4,4453
27.0,30.099999999999998,4480
13.0,30.0,4493
29.0,28.799999999999997,4522
12.0,28.4,4534
24.0,23.499999999999996,4558
18.0,21.2,4576
18.0,21.3,4594
12.0,21.3,4606
29.0,21.999999999999996,4635
9.0,19.099999999999998,4644
14.0,17.8,4658
19.0,18.4,4677
31.0,18.6,4708
15.0,18.900000000000002,4723
19.0,18.4,4742
27.0,19.3,4769
9.0,18.4,4778
17.0,18.9,4795
12.0,17.2,4807
21.0,18.400000000000002,4828
39.0,20.9,4867
12.0,20.2,4879
13.0,18.4,4892
22.0,19.099999999999998,4914
16.0,18.8,4930
11.0,17.200000000000003,4941
33.0,19.6,4974
15.0,19.4,4989
16.0,19.8,5005
42.0,21.900000000000002,5047
27.0,20.7,5074
33.0,22.8,5107
32.0,24.700000000000003,5139
60.0,28.5,5199
19.0,28.799999999999997,5218
25.0,30.2,5243
19.0,28.799999999999997,5262
35.0,30.799999999999997,5297
12.0,30.4,5309
20.0,28.199999999999996,5329
31.0,28.6,5360
11.0,26.400000000000006,5371
34.0,26.6,5405
18.0,22.400000000000002,5423
42.0,24.7,5465
9.0,23.099999999999998,5474
19.0,23.099999999999998,5493
14.0,20.999999999999996,5507
18.0,21.599999999999998,5525
20.0,21.6,5545
37.0,22.2,5582
19.0,23.0,5601
18.0,21.400000000000002,5619
10.0,20.6,5629
15.0,17.900000000000002,5644
31.0,20.100000000000005,5675
26.0,20.800000000000004,5701
12.0,20.6,5713
34.0,22.2,5747
16.0,21.8,5763
18.0,19.900000000000002,5781
43.0,22.300000000000004,5824
16.0,22.1,5840
15.0,22.6,5855
15.0,22.6,5870
18.0,21.300000000000004,5888
16.0,20.300000000000004,5904
18.0,20.900000000000002,5922
28.0,20.3,5950
14.0,20.1,5964
13.0,19.6,5977
21.0,17.400000000000002,5998
21.0,17.900000000000002,6019
35.0,19.900000000000002,6054
17.0,20.1,6071
19.0,20.2,6090
28.0,21.4,6118
27.0,22.3,6145
12.0,20.7,6157
44.0,23.7,6201
10.0,23.4,6211
18.0,23.1,6229
27.0,23.7,6256
10.0,21.2,6266
35.0,23.0,6301
25.0,23.6,6326
14.0,22.2,6340
18.0,21.3,6358
14.0,21.5,6372
21.0,19.200000000000003,6393
10.0,19.200000000000003,6403
